City_name,Cloudiness,Country,Date,Humidity,Lng,Lat,Max_Temp,Wind_speed
Brownsville,90,US,1544197260,81,-97.49,25.91,24.4,5.1
Union de Tula,0,MX,1544197789,70,-104.27,19.96,19.52,1.18
College,90,US,1544194680,95,-147.8,64.86,-3.3,2.78
Abidjan,20,CI,1544194800,83,-4.02,5.32,27.0,1.5
Tilichiki,20,RU,1544197791,91,166.1,60.47,-29.53,1.53
Redmond,1,US,1544196900,100,-122.12,47.67,2.2,1.93
Lorengau,0,PG,1544197791,100,147.27,-2.02,28.92,3.38
Lugui,92,CN,1544197792,100,108.4,23.25,7.92,3.93
Pisco,0,PE,1544194800,30,-76.2,-13.71,22.0,3.6
Hay River,20,CA,1544194800,84,-115.79,60.82,-16.0,2.1
Vardo,40,US,1544196000,45,-77.74,39.62,3.0,5.1
Vila,0,IT,1544196000,71,8.4,45.18,11.0,3.1
Ambilobe,56,MG,1544197794,98,49.05,-13.19,24.47,1.43
Faanui,80,PF,1544197794,100,-151.75,-16.48,26.22,7.98
Labuhan,76,ID,1544197794,93,115.51,-2.54,24.57,0.78
Arkhangelskoye,68,RU,1544197795,91,37.62,54.46,-5.53,3.48
Saquarema,75,BR,1544194800,61,-42.51,-22.93,26.0,4.1
Acari,24,BR,1544197796,82,-36.64,-6.44,27.42,1.88
Poum,40,MK,1544196600,55,20.71,41.28,2.0,1.0
Abrau-Dyurso,75,RU,1544196600,93,37.6,44.7,2.0,2.0
Saint-Pierre,92,FR,1544194800,93,4.24,48.95,11.0,12.3
Ambanja,68,MG,1544197798,98,48.45,-13.68,23.32,0.93
Kochkurovo,92,RU,1544197798,93,45.43,54.03,-7.01,1.23
Dudinka,12,RU,1544197798,56,86.18,69.41,-23.83,5.68
Kayerkan,0,RU,1544197799,54,87.76,69.35,-27.93,3.28
Muscat,0,OM,1544194200,54,58.55,23.6,26.0,2.1
Bad Kissingen,92,DE,1544197728,97,10.08,50.2,8.17,6.68
Pindwara,0,IN,1544197799,73,73.05,24.79,15.85,2.58
Glyadyanskoye,8,RU,1544197800,57,65.09,54.91,-18.28,1.43
Tasiilaq,20,GL,1544194200,53,-37.64,65.61,-6.0,1.0
Clyde River,40,CA,1544196540,83,-68.59,70.47,-25.0,3.1
Dicabisagan,92,PH,1544197801,100,122.42,17.08,25.02,5.28
Chara,0,GR,1544196000,61,22.43,39.42,10.0,1.5
Vestmannaeyjar,20,IS,1544192520,86,-20.27,63.44,4.0,2.1
Meulaboh,92,ID,1544197802,100,96.13,4.14,26.25,1.23
Altay,12,CN,1544197802,34,88.13,47.83,-32.68,0.78
Srednekolymsk,24,RU,1544197803,68,153.71,67.46,-37.51,1.08
Turukhansk,0,RU,1544197803,37,87.96,65.8,-31.38,1.33
Subtanjalla,0,PE,1544194800,30,-75.76,-14.02,22.0,3.6
Kazanskaya,92,RU,1544197804,97,40.44,45.41,1.37,3.28
Nador,20,MA,1544196600,77,-2.93,35.17,20.0,4.6
Korhogo,0,CI,1544197805,26,-5.63,9.46,34.22,4.63
Vagay,76,RU,1544197805,92,69.02,57.94,-9.13,2.43
Louis Trichardt,44,ZA,1544197806,53,29.91,-23.04,29.57,1.43
Kudat,75,MY,1544194800,88,116.84,6.89,28.0,4.6
Vilyuysk,36,RU,1544197806,61,121.63,63.75,-29.43,1.93
Pamanukan,8,ID,1544197806,100,107.82,-6.28,29.77,2.43
Wanning,75,AT,1544196000,93,13.53,48.64,8.0,2.6
Taltal,0,CL,1544197808,68,-70.49,-25.41,20.12,1.33
Nanortalik,0,GL,1544197808,93,-45.24,60.14,-1.78,3.03
Falam,0,MM,1544197808,75,93.68,22.91,11.62,0.58
Mandan,1,US,1544195700,100,-100.89,46.83,-11.7,3.6
Saint-Louis,75,CH,1544196000,71,7.56,47.59,12.0,2.1
Boyolangu,92,ID,1544197810,98,111.9,-8.09,21.7,0.73
Zhigansk,20,RU,1544197810,93,123.37,66.77,-40.58,1.33
Magugu,36,TZ,1544197811,78,35.77,-4.02,23.82,2.93
Harnosand,90,SE,1544196000,100,17.94,62.63,-1.0,1.0
Moron,0,VE,1544197811,61,-68.2,10.49,26.57,1.53
Prince Rupert,75,CA,1544194800,100,-130.32,54.32,0.0,1.0
Port Augusta,20,AU,1544194800,83,137.76,-32.49,21.0,5.7
Saint Anthony,40,US,1544194560,78,-111.68,43.97,-15.0,1.53
Noyabrsk,92,RU,1544197813,85,75.45,63.2,-10.76,4.33
Kokopo,0,PG,1544197813,100,152.27,-4.34,27.45,2.73
Sabha,0,LY,1544197814,37,14.43,27.03,20.17,2.03
Tarpon Springs,1,US,1544196900,63,-82.76,28.15,19.0,2.1
Rafaela,0,AR,1544197814,61,-61.49,-31.25,23.17,3.18
Balkhash,0,KZ,1544197815,100,74.98,46.84,-9.81,7.18
Chicama,75,PE,1544194800,83,-79.15,-7.84,21.0,3.6
Pacasmayo,64,PE,1544197816,100,-79.57,-7.4,19.12,4.48
Dickinson,1,US,1544194560,86,-102.79,46.88,-13.9,1.5
At-Bashi,56,KG,1544197817,55,75.81,41.17,-17.38,0.63
Saint George,0,GR,1544196000,61,22.34,39.45,10.0,1.5
Jinchang,36,CN,1544197817,76,102.19,38.52,-20.43,1.33
Birao,0,CF,1544197818,17,22.78,10.3,31.87,4.33
Koumac,92,NC,1544197818,100,164.28,-20.56,23.47,6.28
Tura,0,IN,1544197819,86,90.21,25.52,13.52,1.08
Elk City,90,US,1544196900,72,-99.4,35.41,0.6,2.6
San Patricio,0,PY,1544197820,64,-56.83,-26.98,24.1,2.93
Puerto Cabezas,40,NI,1544194800,88,-83.39,14.04,27.0,5.1
Prieska,8,ZA,1544197821,24,22.74,-29.67,25.97,6.68
Murdochville,36,CA,1544197821,78,-65.49,48.96,-8.13,2.13
Port Hedland,0,AU,1544196600,40,118.58,-20.31,30.0,5.7
Lagoa,0,PT,1544194800,53,-8.45,37.14,22.0,2.1
Dunedin,8,NZ,1544197647,80,170.5,-45.87,8.47,0.88
Murgab,75,TM,1544194800,71,61.97,37.5,12.0,4.1
Longyearbyen,75,NO,1544196000,98,15.63,78.22,0.0,9.3
Colac,92,AU,1544197825,48,143.59,-38.34,22.82,2.88
Wagar,36,US,1544197825,38,-87.99,31.44,8.32,1.78
Colares,75,PT,1544194800,72,-9.45,38.8,17.0,4.6
Sitka,48,US,1544197826,75,-99.65,37.17,-5.33,2.13
Galle,90,US,1544196900,100,-97.91,29.74,12.5,2.1
Luwingu,64,ZM,1544197827,85,29.92,-10.26,21.27,0.73
Boa Vista,40,BR,1544194800,49,-60.67,2.82,32.0,7.2
Sobolevo,80,RU,1544197828,92,31.9,54.43,-5.58,3.33
Tazovskiy,80,RU,1544197829,84,78.7,67.47,-14.68,6.83
Chapais,1,CA,1544196000,76,-74.86,49.78,-21.0,3.6
Caarapo,92,BR,1544197829,57,-54.82,-22.63,25.45,5.33
Coahuayana,8,MX,1544197830,70,-100.35,18.62,20.6,1.33
San Javier,0,ES,1544194800,72,-0.83,37.81,20.0,4.6
Kyren,0,RU,1544197831,0,102.13,51.68,-39.68,0.98
Peleduy,64,RU,1544197831,68,112.75,59.63,-26.56,2.98
